City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
525,amlapura,-8.45,115.6167,25.32,88,100,0.77,ID,1707687921
526,bandar lampung,-5.4254,105.258,22.95,95,31,2.75,ID,1707687658
527,vidyayevo,69.3191,32.8049,-15.29,94,100,2.65,RU,1707687922
528,slave lake,55.2834,-114.769,2.99,48,0,2.57,CA,1707687922
529,biga,40.2281,27.2422,17.81,54,100,8.37,TR,1707687922
530,shingu,33.7333,135.9833,4.45,69,6,3.82,JP,1707687922
531,idri,27.5,13.2667,19.24,29,55,4.66,LY,1707687922
532,bureya,49.8133,129.8131,-10.07,89,100,6.02,RU,1707687922
533,santa marta de tormes,40.9506,-5.6272,7.24,87,100,4.92,ES,1707687922
534,san mariano,7.5,126.0,20.31,97,23,1.83,PH,1707687922
535,happy valley-goose bay,53.3168,-60.3315,0.17,100,100,1.54,CA,1707687922
536,fuling,29.7022,107.3919,10.44,68,25,1.18,CN,1707687922
537,acarau,-2.8856,-40.12,27.28,84,100,6.41,BR,1707687923
538,crane,31.3974,-102.3501,6.88,67,64,9.9,US,1707687923
539,oranjemund,-28.55,16.4333,19.36,87,0,1.69,NA,1707687923
540,hoopstad,-27.8327,25.9083,21.86,64,5,4.42,ZA,1707687923
541,kenora,49.8167,-94.4337,-6.46,73,100,4.12,CA,1707687724
542,trashi yangtse,27.6116,91.498,4.93,66,11,2.45,BT,1707687923
543,purranque,-40.9167,-73.1667,21.63,52,100,2.79,CL,1707687923
544,soio,-6.1349,12.3689,27.63,84,97,2.56,AO,1707687923
545,gadwal,16.2333,77.8,21.56,71,49,3.21,IN,1707687923
546,weihai,37.5017,122.1136,3.18,74,0,5.38,CN,1707687924
547,san carlos del zulia,9.0,-71.9135,29.64,68,43,4.51,VE,1707687924
548,kill devil hills,36.0307,-75.676,17.0,88,100,0.0,US,1707687828
549,kruisfontein,-34.0033,24.7314,19.94,90,32,3.43,ZA,1707687924
550,livadiya,42.8692,132.6764,-8.37,81,2,1.42,RU,1707687924
551,brooks,50.5834,-111.8851,2.99,59,100,2.57,CA,1707687924
552,gebeit,21.0667,36.3167,15.43,62,0,1.83,SD,1707687924
553,saint-joseph,-21.3667,55.6167,26.21,86,41,4.43,RE,1707687924
554,mchinji,-13.7984,32.8802,19.32,91,100,1.59,MW,1707687924
555,bondo,3.8146,23.6866,24.36,54,52,1.11,CD,1707687925
556,howrah,22.5892,88.3103,17.0,77,40,0.0,IN,1707687925
557,arkhangel'sk,64.5401,40.5433,-23.82,76,75,1.0,RU,1707687925
558,darlowo,54.421,16.4107,3.94,98,100,5.12,PL,1707687925
559,plettenberg bay,-34.0527,23.3716,18.33,79,54,1.12,ZA,1707687925
560,sao jose da coroa grande,-8.8978,-35.1478,27.29,79,94,4.34,BR,1707687925
561,le vauclin,14.5452,-60.8388,27.03,74,75,6.69,MQ,1707687925
562,umm kaddadah,13.6017,26.6876,19.43,13,0,5.32,SD,1707687925
563,dese,11.1333,39.6333,13.46,87,60,1.65,ET,1707687925
564,olyokminsk,60.3736,120.4264,-28.4,99,83,0.52,RU,1707687925
565,mercedes,-34.6515,-59.4307,32.66,51,92,2.14,AR,1707687926
566,nice,44.0,7.25,4.72,63,0,3.53,FR,1707687926
567,roma,43.2128,-75.4557,2.54,79,100,0.45,US,1707687847
568,north battleford,52.7834,-108.2847,1.05,60,0,5.14,CA,1707687926
569,tosontsengel,48.7567,98.2839,-3.68,65,100,8.14,MN,1707687926
570,obihiro,42.9172,143.2044,-11.37,92,22,0.59,JP,1707687926
571,nguruka,-5.1092,31.0419,19.28,95,94,0.77,TZ,1707687926
572,taoudenni,22.6783,-3.9836,25.31,22,0,4.08,ML,1707687926
573,hammerfest,70.6634,23.6821,-0.75,59,40,4.12,NO,1707687926
